ID,Tier,Variant,Utterance,Tests,Expected_Components,Expected_Utilities,Expected_Icons,Key_Validation_Points,Success_Criteria,Accessibility_Requirements,Common_Failure_Modes,Complexity
C04,Tier 1,Moderate,"Delete confirmation modal 480px width: warning icon 48px, message ""Are you sure?"", Cancel button (neutral, left), Delete button (destructive red, right)","Modal sizing, icons, button variants","Modal OR lightning-modal, 2 buttons","slds-modal, slds-modal_medium, slds-button_neutral, slds-button_destructive",utility:warning,"480px wide, warning icon 48px, Cancel left Delete right, Delete red","Width 480px, header icon 48px, buttons: Cancel neutral left Delete destructive right","aria-labelledby, focus trap, ESC closes, focus returns","Width wrong, icon size wrong, Delete not red, ARIA missing",Simple
C04,Tier 1,Detailed,"Create a confirmation modal for deletion using SLDS medium modal sizing with proper backdrop. Header should include warning icon from utility icons using appropriate warning colors, with title ""Confirm Delete"" using SLDS heading typography. Body contains message ""Are you sure you want to delete this item? This action cannot be undone"" using standard SLDS text size and line-height. Footer has Cancel button (neutral variant, standard sizing) and Delete button (destructive variant, standard sizing) with proper button spacing from SLDS. Implement full focus trap: on open focus moves to Delete button, Tab cycles through close button, Cancel, and Delete with proper keyboard handling, ESC key closes modal, clicking backdrop closes modal, on close focus returns to trigger element",Complete modal with focus management,"Modal with focus trap, backdrop handler","slds-modal, slds-modal_medium, slds-modal__container, slds-backdrop","utility:warning, utility:close","Width standard dimensions from SLDS centered, icon standard size from SLDS , title SLDS text size bold, body SLDS text size lh 1.5, Cancel standard size from SLDS left Delete standard dimensions from SLDS right, backdrop rgba(0,0,0,0.6), focus trap Tab/Shift+Tab, ESC/backdrop close, focus returns","Width standard dimensions from SLDS centered, icon standard size from SLDS , title SLDS text size weight 700, body SLDS text size lh 1.5, Cancel standard size from SLDS Delete standard dimensions from SLDS , backdrop rgba(0,0,0,0.6), focus trap: open→Delete, Tab cycles within modal, Shift+Tab reverses, ESC/backdrop handlers, returns focus to opener","role=""dialog"", aria-labelledby, aria-modal=""true"", focus trap prevents Tab escape, all interactive keyboard accessible, ESC announced","Width not 480px, icon wrong, text sizes wrong, button widths wrong, backdrop wrong opacity, Tab escapes, ESC broken, focus not returning, aria-modal missing",Simple
C05,Tier 1,Simple,"Create card grid: 4 columns desktop, 2 tablet, 1 mobile","Responsive grid, cards",Grid with cards,"slds-grid, slds-wrap",,Grid responds to screen size,Grid shows 4-2-1 based on screen width,Grid maintains structure,"Not responsive, wrong columns",Simple
C05,Tier 1,Moderate,"Responsive product card grid with 6 cards: 4 columns desktop (>1024px), 2 tablet (768-1024px), 1 mobile (<768px). 16px gutters","Responsive breakpoints, spacing",6 lightning-card OR custom cards,"slds-grid, slds-wrap, slds-size_1-of-4, slds-medium-size_1-of-2, slds-small-size_1-of-1, slds-gutters",,"4 desktop, 2 tablet, 1 mobile, 16px gaps","6 cards in grid, responsive classes 4-2-1, slds-gutters 16px spacing","Grid accessible, cards keyboard navigable","Wrong column counts, breakpoints broken, gutters missing",Simple
C05,Tier 1,Detailed,"Create a responsive product card grid using SLDS grid system with sizing utilities for desktop (4 columns using quarter-width sizing), tablet (2 columns using half-width sizing), and mobile (1 column using full-width sizing). Apply column padding for consistent gutters between cards. Display 6 product cards each containing image, title, and price. Cards should use standard SLDS card styling with border-radius from design system utilities, shadow from elevation tokens, and hover effects using SLDS interaction styling with appropriate motion timing",Complete responsive grid with interactions,6 cards with hover states,"slds-grid, slds-wrap, slds-size_1-of-4, slds-medium-size_1-of-2, slds-small-size_1-of-1, slds-col_padded",,"Breakpoints ≥standard dimensions from SLDS (4 cols), 768-standard dimensions from SLDS (2 cols), <standard dimensions from SLDS (1 col), gaps standard size from SLDS, cards standard dimensions from SLDS, radius standard size from SLDS, hover scale 1.02 200ms, shadow 2→4","slds-size_1-of-4 (25%), slds-medium-size_1-of-2 (50%), slds-small-size_1-of-1 (100%), slds-col_padded SLDS text size padding (SLDS text size gap), 6 cards height standard dimensions from SLDS, border-radius standard size from SLDS, hover: transform scale(1.02) transition 200ms, box-shadow elevation 2→4","Grid accessible, cards keyboard navigable, hover effects have focus equivalent","Breakpoints wrong, percentages off, gaps not 16px, height not 280px, scale wrong, transition timing off, hover only (no focus)",Simple
C06,Tier 2,Simple,Create page header with title and action buttons,"Page header, buttons","Header div, buttons",slds-page-header,,Header with title and buttons,Header displays with title and action buttons,Header accessible,"Buttons missing, structure wrong",Intermediate
C06,Tier 2,Moderate,"Page header ""John Smith"" with Account icon, followed by Edit, Delete, Clone buttons in button group","Page header, button groups, icons","Page header OR lightning-page-header, button-group, 3 buttons","slds-page-header, slds-page-header__title, slds-button-group","standard:account, utility:edit, utility:delete, utility:copy","Account icon, button group with 3 buttons","Header structure correct, Account icon, button group with Edit/Delete/Clone","Header semantic, buttons accessible, icons labeled","Icon missing, buttons not grouped, wrong icons",Intermediate
C06,Tier 2,Detailed,"Create a page header with Account icon at standard size positioned left, title ""John Smith"" using SLDS heading size and weight, subtitle ""Account • Customer"" using smaller text with neutral colors from the design system. Position a button group on the right containing Edit button (neutral variant), Delete button (destructive variant), and Clone button (neutral variant). Header should use appropriate height from design system with bottom border using SLDS border utilities",Complete page header,"Page header with icon, title, subtitle, button group","slds-page-header, slds-page-header__title, slds-button-group, slds-button_neutral, slds-button_destructive","standard:account, utility:edit, utility:delete, utility:copy","Icon standard size from SLDS, title SLDS text size bold, subtitle SLDS text size gray, button group right, header standard size from SLDS, border standard size from SLDS","Icon standard size from SLDS, title font-size SLDS text size weight 700, subtitle SLDS text size color , button group float right, Edit neutral Delete destructive Clone neutral, header height standard size from SLDS, border-bottom standard size from SLDS","Header semantic structure, icon alt text, buttons keyboard accessible, button group announced","Icon not 48px, text sizes wrong, subtitle color hardcoded, buttons not grouped or wrong variants, height not 72px, border missing",Intermediate
C07,Tier 2,Simple,"Create 4 alerts: Success, Error, Warning, Info with icons","Notifications, themes, icons",4 notification divs,"slds-notify, slds-theme_*","utility:success, utility:error, utility:warning, utility:info",4 alerts with colors and icons,4 alerts render with correct theme colors and icons,Alerts announced,"Colors wrong, icons missing",Intermediate
C07,Tier 2,Moderate,"Create 4 alerts: Success (green), Error (red), Warning (orange), Info (blue). Each has icon, message, close button","Notification variants, close buttons",4 notifications with close,"slds-notify_alert, slds-theme_success/error/warning/info","utility:success, utility:error, utility:warning, utility:info, utility:close","All 4 types with correct colors, icons, close buttons","4 notifications with theme classes, icons match type, close buttons","role=""alert"" for important, close buttons accessible","Theme classes missing, icons wrong type, close missing",Intermediate
C07,Tier 2,Detailed,"Create 4 notification alerts with proper SLDS styling and full width. Success alert uses success background and foreground colors. Error alert uses error background and foreground colors. Warning alert uses warning background and foreground colors. Info alert uses brand background and foreground colors. Each alert should include an icon at standard size with proper spacing, message text using standard text sizing, and close button at appropriate size positioned right. Use SLDS border-radius utilities",Complete alert specification,4 notification components,"slds-notify_alert, slds-theme_*","utility:success, utility:error, utility:warning, utility:info, utility:close","Height standard size from SLDS, width 100%, Success , Error , Warning , Info , icon standard size from SLDS margin standard size from SLDS, text SLDS text size white, close standard size from SLDS, radius standard size from SLDS","Height standard size from SLDS, width 100%, backgrounds exact hex or hooks, icon standard size from SLDS margin-left standard size from SLDS, text font-size SLDS text size color white, close button standard size from SLDS right-aligned, border-radius standard size from SLDS","role=""alert"" for important messages, icons have aria-labels, close buttons keyboard accessible with Enter/Space","Heights wrong, not full width, colors hardcoded/wrong hex, icon size/margin wrong, text size wrong, close not 32px, radius missing",Intermediate
C08,Tier 2,Simple,"Create FAQ accordion with 3 sections, first expanded","Accordion, expansion states",Accordion with 3 sections,slds-accordion,utility:chevrondown,"3 sections, first expanded","Accordion shows 3 sections, first has slds-is-open",Keyboard navigable,"First not expanded, not keyboard accessible",Intermediate
C08,Tier 2,Moderate,FAQ accordion with 3 sections. Each has question header and answer body. Section 1 expanded by default. Chevron icons rotate on expand,"Accordion with icons, default state",lightning-accordion OR blueprint,"slds-accordion, slds-is-open","utility:chevrondown, utility:chevronright","Section 1 slds-is-open, chevrons rotate","3 sections, first has slds-is-open class, aria-expanded, chevron icons rotate","aria-expanded on sections, Enter/Space toggle, arrows navigate","First not expanded, aria-expanded missing, chevrons not rotating",Intermediate
C08,Tier 2,Detailed,"Create an FAQ accordion with 3 sections. Section headers should use standard SLDS height and heading text size with chevron icon at standard size that rotates on expand using appropriate motion timing. Section bodies use standard text size with content padding from SLDS spacing scale, with expand and collapse animation using appropriate motion timing. Section 1 should use the active/open state class by default. Apply borders between sections using SLDS border utilities with neutral colors",Complete accordion specification,Accordion with animations,"slds-accordion, slds-accordion__section, slds-is-open",utility:chevrondown,"Headers standard size from SLDS SLDS text size, chevron standard size from SLDS rotates 90° 200ms, bodies SLDS text size standard size from SLDS padding expand 300ms, section 1 open, borders standard size from SLDS","Header height standard size from SLDS font-size SLDS text size, chevron standard size from SLDS right side rotate 90deg transition 200ms, body font-size SLDS text size padding standard size from SLDS, height transition 300ms ease, section 1 has slds-is-open, borders standard size from SLDS between","aria-expanded=""true/false"" on headers, Enter/Space toggle, arrow keys navigate sections, expansion announced","Header height not 56px, font wrong, chevron not 16px or rotation wrong/no transition, body padding wrong, transition timing off, section 1 not open, aria-expanded missing",Intermediate
C09,Tier 2,Simple,"Create form with text, email, phone, dropdown, checkboxes, textarea","Multiple input types, form layout",Various input components,slds-form_stacked,,Form shows all input types,Form has 6 different input types rendering,All inputs have labels,"Inputs missing, labels missing",Intermediate
C09,Tier 2,Moderate,"User profile form: name (text), email, phone, country (dropdown), interests (checkbox group), bio (textarea). 2-column layout","Form with multiple types, 2-column layout","lightning-input (3), lightning-combobox, lightning-checkbox-group, lightning-textarea","slds-grid, slds-size_1-of-2, slds-form_stacked",,6 input types in 2 columns,"Form has all 6 input types, 2-column layout with slds-size_1-of-2","All inputs labeled, keyboard navigable, validation states clear","Wrong input types, not 2 columns, labels missing",Intermediate
C09,Tier 2,Detailed,"Create a comprehensive user profile form using two-column grid layout with proper spacing from SLDS spacing scale between fields. Column 1: name input (maximum 100 characters), email input (with validation), phone input (tel type with pattern). Column 2: country dropdown (with 150 options), interests checkbox group (5 options allowing multiple selections), bio textarea (4 rows, maximum 500 characters with character counter). Labels should use appropriate label text sizing and weight. Inputs should use standard height from design system",Complete form with specifications,Multiple lightning components,"slds-grid, slds-size_1-of-2, slds-form_stacked, slds-m-bottom_medium",,"2 cols 50:50 spacing standard size from SLDS, name max 100, email/tel validation, country 150 options, interests 5 checkboxes, bio 4 rows max 500 counter, labels SLDS text size bold, inputs standard size from SLDS","Grid slds-size_1-of-2 (50:50), spacing standard size from SLDS (slds-m-bottom_medium), name maxlength=100, email type=""email"", phone pattern tel, country combobox 150 options, interests checkbox-group 5 options multi-select, bio rows=4 maxlength=500 with counter, labels font-size SLDS text size weight 700, inputs height standard size from SLDS","Labels with for attribute, aria-required on required, proper input types for mobile keyboards, checkbox group aria-labelledby, textarea counter aria-live","Columns not 50:50, spacing wrong, maxlengths missing, email not type email, phone no pattern, country wrong count, interests not multi, bio no counter, label styling wrong, input heights not 48px",Intermediate
C10,Tier 2,Simple,"Create contact card with avatar, name, title, email, phone, action buttons","Card structure, avatar, buttons",Card with avatar and buttons,slds-card,,Card shows avatar and contact info,"Card displays with avatar, info, buttons",Card accessible,"Avatar missing, structure wrong",Intermediate
C10,Tier 2,Moderate,"Contact card: circular avatar 80px, name, title, email, phone, ""View Profile"" (brand) and ""Send Message"" (neutral) buttons","Card with sized avatar, button variants","lightning-card OR slds-card, avatar, 2 buttons","slds-card, slds-card__body, slds-card__footer, slds-avatar, slds-button_brand, slds-button_neutral",,"Avatar 80px circle, 2 buttons correct variants","Card with avatar 80px circular, contact info in body, buttons in footer: View Profile brand, Send Message neutral","Card semantic, avatar alt text, buttons keyboard accessible","Avatar not 80px or not circular, buttons wrong variants, not in footer",Intermediate
C10,Tier 2,Detailed,"Create a contact card with proper structure. Header contains circular avatar using SLDS avatar classes with appropriate sizing. Body section includes name using SLDS heading size and weight, title using standard text size with neutral colors, email as clickable mailto link using link colors, and phone as clickable tel link using link colors. Footer contains two buttons: View Profile (brand variant with appropriate sizing) and Send Message (neutral variant with appropriate sizing) with proper spacing between buttons. Card should use standard width from design system, border from SLDS utilities, border-radius from design system, and shadow from elevation tokens",Complete card specification,Card with all styling,"slds-card, slds-card__header, slds-card__body, slds-card__footer, slds-avatar, slds-avatar_circle, slds-button_brand, slds-button_neutral",,"Width standard dimensions from SLDS, avatar standard size from SLDS circle, name SLDS text size bold, title SLDS text size , email/phone SLDS text size blue clickable, buttons standard dimensions from SLDS/standard dimensions from SLDS gap standard size from SLDS, border standard size from SLDS , radius standard size from SLDS, shadow 2","Card width standard dimensions from SLDS, avatar standard size from SLDS border-radius 50%, name font-size SLDS text size weight 700, title SLDS text size color , email <a href=""mailto:""> SLDS text size blue, phone <a href=""tel:""> SLDS text size blue, footer buttons: View standard dimensions from SLDS brand Send standard dimensions from SLDS neutral margin standard size from SLDS between, card border standard size from SLDS , border-radius standard size from SLDS, box-shadow elevation 2","Card structure semantic, avatar alt text with name, email/phone links keyboard accessible and announce as such, buttons keyboard accessible","Width not 320px, avatar not 80px or not circular, text sizes wrong, title color hardcoded, email/phone not links or wrong size, button widths wrong or gap not 8px, border/radius wrong, shadow missing",Intermediate
C11,Tier 2,Simple,"Create vertical nav menu with 5 items, Dashboard active","Navigation, active states",Nav list with 5 items,slds-nav-vertical,,"Nav shows 5 items, Dashboard active","Vertical nav with 5 items, Dashboard has slds-is-active",Nav keyboard navigable,"Dashboard not active, structure wrong",Intermediate
C11,Tier 2,Moderate,"Vertical nav: Dashboard (active), Accounts, Reports, Settings, Help. Each has icon. Dashboard shows active state","Navigation with icons, active state",Nav list OR lightning-vertical-navigation,"slds-nav-vertical, slds-is-active","utility:dashboard, standard:account, utility:chart, utility:settings, utility:help","5 items with icons, Dashboard active","Vertical nav 5 items each with icon, Dashboard has slds-is-active class","Keyboard navigable, active announced, icons labeled","Icons missing, Dashboard not active, not keyboard accessible",Intermediate
C11,Tier 2,Detailed,"Create a vertical navigation menu using standard SLDS navigation width. Each navigation item (Dashboard, Accounts, Reports, Settings, Help) should use standard item height with icons at appropriate size and proper spacing from text using SLDS spacing utilities. Dashboard should show active state with active background color, active text color, and left border accent. Other items use neutral text colors with hover background state. Navigation should have right border using SLDS border utilities",Complete navigation specification,Custom vertical navigation,"slds-nav-vertical, slds-is-active","utility:dashboard, standard:account, utility:chart, utility:settings, utility:help","Width standard dimensions from SLDS, items standard size from SLDS, icons standard size from SLDS gap standard size from SLDS text SLDS text size, active: bg text border-left standard size from SLDS , others: text hover bg , nav border-right standard size from SLDS","Nav width standard dimensions from SLDS, items height standard size from SLDS, icons standard size from SLDS margin-right standard size from SLDS, text font-size SLDS text size, active: background color border-left standard size from SLDS solid , inactive: color hover background , nav border-right standard size from SLDS","Nav role=""navigation"", items keyboard navigable with Tab, active has aria-current=""page"", icons have aria-labels","Width not 240px, item heights not 48px, icons not 20px or gap wrong, text size wrong, active colors hardcoded/wrong, hover not working, border missing, aria-current missing",Intermediate
C12,Tier 2,Simple,Create search bar with autocomplete dropdown,"Search, dropdown",Search input with dropdown,slds-combobox,utility:search,Search shows dropdown with suggestions,Search input displays autocomplete suggestions,Keyboard searchable,"Dropdown not appearing, not searchable",Intermediate
C12,Tier 2,Moderate,"Search bar with autocomplete: search icon inside input, dropdown below with suggestions, clear button when text entered","Search with icon, conditional clear",lightning-combobox OR custom,"slds-combobox, slds-input-has-icon_left","utility:search, utility:clear","Icon inside input, dropdown suggests, clear button conditional","Search input with icon left, dropdown appears on input, clear button shows when text present","aria-autocomplete, aria-expanded, keyboard arrows select, clear accessible","Icon not inside, dropdown not appearing, clear always showing or missing",Intermediate
C12,Tier 2,Detailed,"Create a search bar with autocomplete using standard SLDS input dimensions. Search icon at appropriate size should be positioned inside left with proper margin. Include placeholder text ""Search..."". Typing (minimum 2 characters) displays dropdown at input width with maximum height from design system allowing scroll. Each suggestion item uses standard list item height with hover and selected background states from SLDS. Clear button at appropriate size appears conditionally when text is present. Implement keyboard handling: typing filters list, Enter selects, ESC closes dropdown",Complete search specification,Custom combobox with filtering,"slds-combobox, slds-combobox__form-element, slds-listbox","utility:search, utility:clear","Width standard dimensions from SLDS height standard size from SLDS, icon standard size from SLDS left margin standard size from SLDS, text SLDS text size, clear standard size from SLDS conditional, dropdown standard dimensions from SLDS max-height standard dimensions from SLDS, items standard size from SLDS hover selected , typing filters, Enter selects, ESC closes","Input width standard dimensions from SLDS height standard size from SLDS, icon standard size from SLDS margin-left standard size from SLDS, text font-size SLDS text size, clear standard size from SLDS right shows when input.value not empty, dropdown width standard dimensions from SLDS max-height standard dimensions from SLDS overflow-y auto, items height standard size from SLDS hover background , selected background , filter list on input, Enter key selects, ESC closes dropdown","aria-autocomplete=""list"", aria-expanded on dropdown state, aria-controls to dropdown ID, arrow keys navigate suggestions with aria-activedescendant, Enter selects, ESC closes announced","Width/height wrong, icon not 16px or margin wrong, text size wrong, clear wrong size or always showing, dropdown wrong dimensions, item heights wrong, hover/selected colors hardcoded/wrong, filtering not working, ARIA incomplete",Intermediate
C13,Tier 2,Simple,"Create tabs: Overview, Details, History. Overview active","Tabs, active state",Tabset with 3 tabs,slds-tabs_default,,"3 tabs, Overview active","Tabset shows 3 tabs, Overview has slds-is-active",Tabs keyboard switchable,"Overview not active, not keyboard accessible",Intermediate
C13,Tier 2,Moderate,"Tabset with 3 tabs: Overview (active default), Details, History. Each tab has different content. Clicking switches content",Tabs with content switching,lightning-tabset with 3 lightning-tab,"slds-tabs_default, slds-is-active",,"Overview active, content switches on click","3 tabs, Overview slds-is-active, aria-selected, clicking switches content panels","role=""tablist"", aria-selected, keyboard arrows switch tabs","Overview not active, content not switching, ARIA missing",Intermediate
C13,Tier 2,Detailed,"Create a tabset with 3 tabs using standard SLDS tab sizing. Tab headers use appropriate text size. Active tab (Overview) displays bottom border using brand colors at appropriate width with bold text weight. Inactive tabs show bottom border using neutral border colors with hover background states. Tab content panels use padding from SLDS spacing scale with minimum height from design system and top border from utilities. Implement keyboard navigation: arrow keys switch between tabs, Enter and Space activate selected tab",Complete tab specification,Custom tabset,"slds-tabs_default, slds-tabs__item, slds-is-active, slds-tabs__content",,"Tabs standard dimensions from SLDS × standard size from SLDS SLDS text size text, active: border-bottom standard size from SLDS bold, inactive: border standard size from SLDS hover , panels: padding standard size from SLDS min-height standard dimensions from SLDS border-top standard size from SLDS, arrows/Enter/Space navigation","Tabs width standard dimensions from SLDS height standard size from SLDS font-size SLDS text size, active: border-bottom standard size from SLDS solid font-weight 700, inactive: border-bottom standard size from SLDS hover background , panels: padding standard size from SLDS min-height standard dimensions from SLDS border-top standard size from SLDS , arrow keys switch tabs, Enter/Space activate","role=""tablist"" on container, tabs role=""tab"", panels role=""tabpanel"", aria-selected on active tab, arrow keys navigate, Enter/Space activate, active panel visible others hidden","Tab sizes wrong, border widths wrong, active not bold or wrong border color, hover not working, panel padding/height wrong, keyboard navigation broken, roles missing",Intermediate
C14,Tier 3,Simple,Create 3-step wizard with progress indicator and next/back buttons,"Wizard, progress, navigation","Progress indicator, forms, buttons",slds-progress,"utility:forward, utility:back",Wizard shows 3 steps with progress,"Wizard displays 3 steps, progress indicator, navigation buttons",Wizard keyboard navigable,"Steps not showing, progress missing, navigation broken",Advanced
C14,Tier 3,Moderate,"Registration wizard with 3 steps and progress indicator. Step 1: Account type (radio). Step 2: Personal info (name, email). Step 3: Review. Back/Next buttons. Validate each step","Wizard with validation, different input types","lightning-progress-indicator, lightning-radio-group, lightning-input, buttons","slds-progress, slds-is-active, slds-is-completed",,"Progress shows current step, validation prevents advance, data persists","3 steps conditional render, progress shows current/completed, Step 1 radio, Step 2 inputs, Step 3 review, validation before next, data persists between steps","Progress announced, form validation accessible, Back/Next keyboard accessible","Validation not blocking advance, data not persisting, progress not updating",Advanced
C14,Tier 3,Detailed,"Create a registration wizard with progress indicator showing 3 steps using standard SLDS progress sizing. Current step uses brand colors. Completed steps use success colors with checkmark icon at standard size. Incomplete steps use neutral colors with outline styling. Step 1 displays account type selection with radio buttons at standard height. Step 2 shows personal information form with name input (maximum 100 characters) and email input (with validation). Step 3 displays review of entered data. Back button (neutral variant, standard sizing, disabled on Step 1) and Next button (brand variant, standard sizing, disabled when validation fails). Implement step transitions with appropriate animation timing from SLDS motion tokens",Complete wizard specification,Multi-step form with all states,"slds-progress, slds-progress__item, slds-is-current, slds-is-completed, slds-button_brand, slds-button_neutral","utility:forward, utility:back, utility:check","Circles standard size from SLDS lines standard size from SLDS, current , complete check standard size from SLDS, incomplete , Step 1 radios standard size from SLDS, Step 2 name max 100 email validation, Step 3 review, Back standard size from SLDS disabled Step 1, Next standard dimensions from SLDS disabled invalid, transitions 300ms","Progress: circles standard size from SLDS diameter connected by lines standard size from SLDS, current background , completed with checkmark standard size from SLDS, incomplete border standard size from SLDS , Step 1 radio buttons height standard size from SLDS, Step 2 name maxlength=100 email type=""email"", Step 3 displays entered data, Back width standard size from SLDS disabled on Step 1, Next width standard dimensions from SLDS disabled when validation fails, step transitions 300ms fade","Progress items have aria-valuenow/valuemin/valuemax, current step announced, form validation prevents next, disabled buttons have aria-disabled, all inputs labeled","Circle sizes wrong, line thickness wrong, colors hardcoded/wrong, checkmark not 20px, radio heights wrong, validation not blocking, review not showing data, Back not disabled Step 1, Next not disabled invalid, transitions missing/wrong timing, ARIA incomplete",Advanced
C15,Tier 3,Simple,Create data table with inline editing for some columns,"Table, inline editing",Editable datatable,slds-table,,Table allows inline editing,Table displays with some columns editable inline,Table accessible,"Editing not working, accessibility missing",Advanced
C15,Tier 3,Moderate,"Employee table: Name (read-only), Department (dropdown, editable), Salary (editable), Status (badge). Allow inline editing on Department and Salary","Table with mixed editable/read-only, badges",lightning-datatable with inline edit,"slds-table, slds-badge",,"Department and Salary editable inline, Status shows badges","Datatable with 4 columns, Department editable dropdown, Salary editable number, Status badges with colors, inline editing enabled","Inline edit keyboard accessible, edit mode announced","Wrong columns editable, badges missing, inline edit broken",Advanced
